市区町村名,都道府県,緯度,経度
札幌市,北海道,43.06208877,141.3543886
札幌市 中央区,北海道,43.0553865,141.3409671
札幌市 北区,北海道,43.09079296,141.3408807
札幌市 東区,北海道,43.07611111,141.3636111
札幌市 白石区,北海道,43.04756872,141.40522
札幌市 豊平区,北海道,43.03134414,141.3800612
札幌市 南区,北海道,42.99000828,141.3533998
札幌市 西区,北海道,43.0744547,141.3008974
札幌市 厚別区,北海道,43.03639318,141.4747615
札幌市 手稲区,北海道,43.12187423,141.2457843
札幌市 清田区,北海道,42.99951523,141.4437927
函館市,北海道,41.76864057,140.7290679
小樽市,北海道,43.19070647,140.9944857
旭川市,北海道,43.77083333,142.365
室蘭市,北海道,42.31520812,140.9736731
釧路市,北海道,42.98492315,144.3817102
帯広市,北海道,42.92405501,143.1962056
北見市,北海道,43.80392712,143.8957877
夕張市,北海道,43.0568559,141.9740889
岩見沢市,北海道,43.19611111,141.7758333
網走市,北海道,44.02063505,144.2734742
留萌市,北海道,43.94100709,141.6369314
苫小牧市,北海道,42.63416667,141.6055556
稚内市,北海道,45.41563748,141.6730675
美唄市,北海道,43.3330171,141.8540435
芦別市,北海道,43.51821332,142.1894862
江別市,北海道,43.10365105,141.5360696
赤平市,北海道,43.55798822,142.0441993
紋別市,北海道,44.35638889,143.3541667
士別市,北海道,44.17857528,142.4001608
名寄市,北海道,44.3559089,142.4631835
三笠市,北海道,43.24565996,141.8753755
根室市,北海道,43.33007352,145.5828718
千歳市,北海道,42.82100926,141.6510058
滝川市,北海道,43.55772933,141.9103899
砂川市,北海道,43.49478639,141.9034778
歌志内市,北海道,43.52166667,142.0352778
深川市,北海道,43.72319472,142.0535134
富良野市,北海道,43.34200922,142.3831468
登別市,北海道,42.41277778,141.1066667
恵庭市,北海道,42.88258231,141.5777691
伊達市,北海道,42.47194444,140.8647222
北広島市,北海道,42.98566933,141.5635545
石狩市,北海道,43.17138889,141.3155556
北斗市,北海道,41.82416667,140.6530556
当別町,北海道,43.22381951,141.5171281
新篠津村,北海道,43.22541251,141.6492815
松前町,北海道,41.42996802,140.1103613
福島町,北海道,41.48374263,140.2512881
知内町,北海道,41.59833333,140.4188889
木古内町,北海道,41.6783268,140.4376294
七飯町,北海道,41.89571953,140.6944054
鹿部町,北海道,42.026639,140.831672
森町,北海道,42.10496108,140.5764167
八雲町,北海道,42.25589383,140.2651921
